date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2019-08-28,0,0,0,0,0,0,1,455.9,2426.95,1930.0,16195.464999999998,15489.479999999998,18.729999999999997
2019-08-29,0,0,0,0,1,0,0,482.4,2430.5199999999995,1713.0,15526.313,14817.255000000001,11.790000000000003
2019-08-30,1,0,0,0,0,0,0,451.1,2439.3500000000004,1905.0,9320.089,8821.347,12.45
2019-08-31,0,0,1,0,0,0,0,467.1,2434.08,1891.0,21093.149,20220.554999999997,13.860000000000001
2019-09-01,0,0,0,1,0,0,0,460.7000000000001,2435.6,1895.0,20371.868000000006,19531.977000000003,12.19
2019-09-02,0,1,0,0,0,0,0,447.9,2440.6200000000003,1989.0,15397.235,14708.486000000003,26.61
2019-09-03,0,0,0,0,0,1,0,450.4,2437.1800000000003,1857.0,18584.671,17802.828999999998,18.41
2019-09-04,0,0,0,0,0,0,1,414.3,2441.1800000000003,1965.0,5114.624999999999,4733.233,11.150000000000002
2019-09-05,0,0,0,0,1,0,0,430.70000000000005,2437.15,2020.0,21824.219,20926.124,13.72
2019-09-06,1,0,0,0,0,0,0,478.7,2438.7200000000007,1704.0,16833.804,16126.993999999999,13.820000000000002
2019-09-07,0,0,1,0,0,0,0,413.6,2436.560000000001,1885.0,23202.987,22272.894000000004,13.43
2019-09-08,0,0,0,1,0,0,0,400.70000000000005,2426.7499999999995,2028.0,16261.939,15551.399999999998,10.530000000000001
2019-09-09,0,1,0,0,0,0,0,400.59999999999997,2424.3699999999994,2100.0,19137.22,18333.060999999998,20.240000000000002
2019-09-10,0,0,0,0,0,1,0,411.49999999999994,2431.8199999999997,1996.0,12240.568000000001,11667.13,10.989999999999998
2019-09-11,0,0,0,0,0,0,1,395.49999999999994,2446.74,1896.0,14555.795,13909.029999999999,14.95
2019-09-12,0,0,0,0,1,0,0,397.4,2443.87,2089.0,11678.946,11132.284999999998,15.04
2019-09-13,1,0,0,0,0,0,0,383.80000000000007,2441.9799999999996,2158.0,14293.655999999999,13666.160999999998,13.93
2019-09-14,0,0,1,0,0,0,0,363.99999999999994,2428.9099999999994,2189.0,11022.957,10470.951,19.14
2019-09-15,0,0,0,1,0,0,0,358.79999999999995,2413.1799999999994,2118.0,6245.456,5863.156,19.310000000000002
2019-09-16,0,1,0,0,0,0,0,355.5,2420.75,1995.0,4187.874,3859.234,12.710000000000003
2019-09-17,0,0,0,0,0,1,0,331.90000000000003,2414.2599999999998,2111.0,8269.346,7826.812999999999,17.76
2019-09-18,0,0,0,0,0,0,1,346.9,2426.88,2090.0,5534.773999999999,5177.004,10.94
2019-09-19,0,0,0,0,1,0,0,322.70000000000005,2441.16,2183.0,10456.168,9958.677,22.470000000000002
2019-09-20,1,0,0,0,0,0,0,357.40000000000003,2444.09,2134.0,16805.262,16095.159,14.489999999999998
